IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1000573,1876,Ross Barnes,CHI,26,66,322,342,138,102,21,14,1,126,59,20,,8,,,,,,,0.429,,,,,,,,,,,0.057999999999999996,0.023,2.5,0.462,0.59,1.052,0.161,0.438,,,,,,,,,0.478,53.2,104,50.4,11.0,12.0,1.2,75.5,6.6,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,0.0,,26 - 26,50.4,1.0,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,348,82,165,183,286,160,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1000272,1876,Cap Anson,CHI,24,66,309,321,110,92,9,7,2,63,59,12,,8,,,,,,,0.356,,,,,,,,,,,0.037000000000000005,0.025,1.5,0.38,0.45,0.83,0.094,0.361,,,,,,,,,0.383,26.2,74,23.5,8.0,11.2,2.0,45.7,4.0,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,24 - 24,23.5,0.9,,,,,,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,223,87,136,139,166,132,,,,,,,,,,,,,,,,,,0,,,,,,4.0
1013860,1876,Deacon White,CHI,28,66,303,310,104,84,18,1,1,66,60,7,,3,,,,,,,0.343,,,,,,,,,,,0.023,0.01,2.33,0.358,0.419,0.777,0.076,0.344,,,,,,,,,0.36,19.7,66,17.2,10.0,10.8,1.7,40.5,3.6,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,0.0,,28 - 28,17.2,0.9,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,134,34,128,130,135,126,,,,,,,,,,,,,,,,,,0,,,,,,3.6
1000672,1876,Joe Battin,STL,24,64,283,289,85,70,11,4,0,34,46,6,,6,,,,,,,0.3,,,,,,,,,,,0.021,0.021,1.0,0.315,0.367,0.682,0.067,0.307,,,,,,,,,0.316,8.6,52,11.8,14.0,10.1,2.0,38.7,3.5,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,,24 - 24,11.8,0.8,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,124,72,113,114,119,112,,,,,,,,,,,,,,,,,,0,,,,,,3.5
1010232,1876,John Peters,CHI,26,66,316,319,111,94,14,2,1,70,47,3,,2,,,,,,,0.351,,,,,,,,,,,0.009000000000000001,0.006,1.5,0.357,0.418,0.775,0.066,0.351,,,,,,,,,0.358,20.0,68,17.3,6.0,11.1,4.0,39.4,3.4,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,26 - 26,17.3,0.9,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,56,22,128,129,118,129,,,,,,,,,,,,,,,,,,0,,,,,,3.4
1014277,1876,George Wright,BSN,29,70,335,343,100,75,18,6,1,72,34,8,,9,,,,,,,0.299,,,,,,,,,,,0.023,0.026000000000000002,0.89,0.315,0.397,0.712,0.099,0.305,,,,,,,,,0.327,13.2,65,13.0,6.0,12.0,4.2,36.1,3.2,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,0.0,,29 - 29,13.0,1.0,,,,,,,,0.052000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,139,91,113,123,175,111,,,,,,,,,,,,,,,,,,0,,,,,,3.2
1005845,1876,Paul Hines,CHI,21,64,305,306,101,75,21,3,2,62,59,1,,3,,,,,,,0.331,,,,,,,,,,,0.003,0.01,0.33,0.333,0.439,0.773,0.108,0.33,,,,,,,,,0.353,17.9,64,15.4,9.0,10.7,-3.1,32.9,2.9,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.0,,21 - 21,15.4,0.9,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,19,34,119,136,192,121,,,,,,,,,,,,,,,,,,0,,,,,,2.9
1002259,1876,John Clapp,STL,24,64,298,306,91,85,4,2,0,60,29,8,,2,,,,,,,0.305,,,,,,,,,,,0.026000000000000002,0.006999999999999999,4.0,0.324,0.332,0.656,0.027,0.307,,,,,,,,,0.308,7.2,53,10.6,8.0,10.7,1.6,31.8,2.8,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,0.0,,24 - 24,10.6,0.9,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,156,23,116,103,48,112,,,,,,,,,,,,,,,,,,0,,,,,,2.8
1010347,1876,Lip Pike,STL,31,63,282,290,91,61,19,10,1,55,50,8,,9,,,,,,,0.323,,,,,,,,,,,0.027999999999999997,0.031,0.89,0.341,0.472,0.813,0.149,0.331,,,,,,,,,0.369,20.6,64,23.8,0.0,10.1,-3.0,31.8,2.7,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,0.0,,31 - 31,23.8,0.8,,,,,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,164,108,122,146,264,121,,,,,,,,,,,,,,,,,,0,,,,,,2.7
1009839,1876,Jim O'Rourke,BSN,25,70,312,327,102,80,17,3,2,61,43,15,,17,,,,,,,0.327,,,,,,,,,,,0.046,0.052000000000000005,0.88,0.358,0.42,0.778,0.093,0.341,,,,,,,,,0.36,20.9,70,20.7,1.0,11.4,-3.4,30.7,2.6,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,0.0,,25 - 25,20.7,0.9,,,,,,,,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,273,181,128,130,165,125,,,,,,,,,,,,,,,,,,0,,,,,,2.6
