IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1004996,1940,Hank Greenberg,DET,29,148,573,670,195,96,50,8,41,129,150,93,,75.0,1.0,,3,15.0,6,3.0,0.34,,,,,,,,,,,0.139,0.11199999999999999,1.24,0.433,0.67,1.103,0.33,0.337,,,,,,,,,0.483,79.7,163,62.7,-2.0,21.0,-6.4,78.5,7.6,,5.2,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,-0.7,,29 - 29,61.9,3.9,,,,,,,,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,143,131.0,123,158.0,230.0,116.0,,,,,,,,,,,,,,,,,,0,,,,,,7.6
1003311,1940,Joe DiMaggio,NYY,25,132,508,572,179,111,28,9,31,93,133,61,,30.0,3.0,,0,16.0,1,2.0,0.352,,,,,,,,,,,0.107,0.052000000000000005,2.03,0.425,0.626,1.051,0.274,0.331,,,,,,,,,0.466,60.0,131,52.9,4.0,17.9,-0.8,76.1,7.4,,4.0,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,-1.3,,25 - 25,51.6,3.4,,,,,,,,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,110,61.0,121,148.0,190.0,114.0,,,,,,,,,,,,,,,,,,0,,,,,,7.4
1009014,1940,Johnny Mize,STL,27,155,579,666,182,95,31,13,43,111,137,82,,49.0,5.0,,0,10.0,7,,0.314,,,,,,,,,,,0.12300000000000001,0.07400000000000001,1.67,0.404,0.636,1.039,0.321,0.285,,,,,,,,,0.456,65.0,147,59.6,-2.0,20.9,-6.6,73.4,7.1,,5.4,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6,0.8,,27 - 27,60.4,0.7,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,148,92.0,120,163.0,270.0,100.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1014040,1940,Ted Williams,BOS,21,144,561,661,193,113,43,14,23,134,113,96,,54.0,3.0,,1,13.0,4,4.0,0.344,,,,,,,,,,,0.145,0.08199999999999999,1.78,0.442,0.594,1.036,0.25,0.351,,,,,,,,,0.462,67.5,149,53.4,-2.0,20.7,-6.2,68.2,6.6,,5.5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,-1.6,,21 - 21,51.8,3.9,,,,,,,,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,149,96.0,126,140.0,174.0,120.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1001234,1940,Lou Boudreau,CLE,22,155,627,706,185,120,46,10,9,97,101,73,,39.0,2.0,,4,23.0,6,3.0,0.295,,,,,,,,,,,0.10300000000000001,0.055,1.87,0.37,0.443,0.814,0.148,0.304,,,,,,,,,0.373,21.9,109,16.6,15.0,22.2,9.6,66.8,6.5,,5.1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,-0.8,,22 - 22,15.9,4.1,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,106,65.0,105,105.0,103.0,104.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1004343,1940,Lonny Frey,CIN,29,150,563,663,150,113,23,6,8,102,54,80,,48.0,3.0,,17,6.0,22,,0.266,,,,,,,,,,,0.121,0.07200000000000001,1.67,0.361,0.371,0.732,0.105,0.28,,,,,,,,,0.345,5.6,88,5.8,25.0,20.8,6.5,62.5,6.2,,5.9,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,3.7,,29 - 29,9.6,0.7,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,145,90.0,107,95.0,88.0,98.0,,,,,,,,,,,,,,,,,,0,,,,,,6.2
1004874,1940,Joe Gordon,NYY,25,155,616,677,173,101,32,10,30,112,103,52,,57.0,3.0,,6,12.0,18,8.0,0.281,,,,,,,,,,,0.077,0.084,0.91,0.34,0.511,0.851,0.231,0.27,,,,,,,,,0.38,24.9,109,16.6,14.0,21.2,6.7,62.1,6.1,,6.9,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,-0.4,,25 - 25,16.2,4.0,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,79,98.0,96,121.0,160.0,93.0,,,,,,,,,,,,,,,,,,0,,,,,,6.1
1013377,1940,Arky Vaughan,PIT,28,156,594,689,178,116,40,15,7,113,95,88,,25.0,3.0,,4,5.0,12,,0.3,,,,,,,,,,,0.128,0.036000000000000004,3.52,0.393,0.453,0.846,0.153,0.304,,,,,,,,,0.389,29.9,115,28.9,0.0,21.6,9.5,62.5,6.1,,6.3,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.7,,28 - 28,30.6,0.7,,,,,,,,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,154,45.0,117,116.0,129.0,107.0,,,,,,,,,,,,,,,,,,0,,,,,,6.1
1014354,1940,Rudy York,DET,26,155,588,685,186,101,46,6,33,105,134,89,,88.0,4.0,,4,12.0,3,2.0,0.316,,,,,,,,,,,0.13,0.128,1.01,0.41,0.583,0.993,0.267,0.328,,,,,,,,,0.442,59.0,144,41.6,0.0,21.5,-6.7,59.5,5.8,,3.8,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7,-0.9,,26 - 26,40.7,4.0,,,,,,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,134,150.0,116,138.0,186.0,112.0,,,,,,,,,,,,,,,,,,0,,,,,,5.8
1006768,1940,Charlie Keller,NYY,23,138,500,609,143,89,18,15,21,102,93,106,,65.0,0.0,,3,11.0,8,2.0,0.286,,,,,,,,,,,0.174,0.107,1.63,0.411,0.508,0.919,0.222,0.295,,,,,,,,,0.417,40.1,115,32.6,8.0,19.1,-5.9,57.5,5.6,,6.1,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.1,,23 - 23,32.7,3.6,,,,,,,,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,179,125.0,117,120.0,154.0,101.0,,,,,,,,,,,,,,,,,,0,,,,,,5.6
