IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011327,1921,Babe Ruth,NYY,26,152,540,693,204,85,44,16,59,177,171,145,,81.0,4,,4,,17,13.0,0.378,,,,,,,,,,,0.209,0.11699999999999999,1.79,0.512,0.846,1.359,0.469,0.363,,,,,,,,,0.578,130.3,219,118.5,6.0,22.0,-6.2,142.6,13.7,,6.4,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-1.5,,26 - 26,117.1,3.7,,,,,,,,0.41100000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,249,184.0,140,201,387,115.0,,,,,,,,,,,,,,,,,,0,,,,,,13.7
1006030,1921,Rogers Hornsby,STL,25,154,592,674,235,152,44,18,21,131,126,60,,48.0,7,,15,,13,13.0,0.397,,,,,,,,,,,0.08900000000000001,0.071,1.25,0.458,0.639,1.097,0.242,0.409,,,,,,,,,0.492,80.0,166,77.5,10.0,21.4,4.3,114.7,11.1,,6.1,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,-2.3,,25 - 25,75.2,3.8,,,,,,,,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,138,117.0,132,156,215,132.0,,,,,,,,,,,,,,,,,,0,,,,,,11.1
1000503,1921,Dave Bancroft,NYG,30,153,606,698,193,146,26,15,6,121,67,66,,23.0,4,,22,,17,10.0,0.318,,,,,,,,,,,0.095,0.033,2.87,0.389,0.441,0.83,0.122,0.324,,,,,,,,,0.385,23.4,112,20.1,22.0,22.2,9.4,77.5,7.5,,6.9,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,-0.2,,30 - 30,19.9,4.0,,,,,,,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,147,54.0,112,107,109,104.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1004364,1921,Frankie Frisch,NYG,22,153,618,687,211,155,31,17,8,121,100,42,,28.0,1,,26,,49,13.0,0.341,,,,,,,,,,,0.061,0.040999999999999995,1.5,0.384,0.485,0.87,0.144,0.349,,,,,,,,,0.398,29.7,117,26.5,12.0,21.8,4.7,73.8,7.1,,8.5,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,4.8,,22 - 22,31.3,3.9,,,,,,,,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,95,67.0,110,118,128,112.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1014622,1921,Charlie Blackwell,SLG,26,79,294,335,119,76,20,11,12,88,89,33,,,8,,7,,25,,0.405,,,,,,,,,,,0.099,,,0.478,0.67,1.148,0.265,,,,,,,,,,0.512,45.3,88,48.3,9.0,10.6,-3.3,70.6,6.8,,8.2,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.4,,26 - 26,53.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,129,,142,181,273,,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1005590,1921,Harry Heilmann,DET,26,149,602,672,237,161,43,14,19,114,139,53,,37.0,2,,15,,2,6.0,0.394,,,,,,,,,,,0.079,0.055,1.43,0.444,0.606,1.051,0.213,0.399,,,,,,,,,0.474,70.1,156,59.7,-6.0,21.3,-6.4,70.7,6.8,,4.8,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.4,-1.4,,26 - 26,58.2,3.6,,,,,,,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,94,87.0,122,144,176,127.0,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1016528,1921,Ben Taylor,ABC,32,106,408,449,160,123,25,9,3,84,89,36,,,5,,11,,9,,0.392,,,,,,,,,,,0.08,,,0.448,0.52,0.967,0.127,,,,,,,,,,0.445,36.7,94,40.8,15.0,14.3,-4.4,68.7,6.7,,6.1,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,2.4,,32 - 32,43.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,105,,133,140,131,,,,,,,,,,,,,,,,,,,0,,,,,,6.7
1002378,1921,Ty Cobb,DET,34,128,507,581,197,132,37,16,12,124,101,56,,19.0,3,,15,,22,15.0,0.389,,,,,,,,,,,0.096,0.033,2.95,0.452,0.596,1.048,0.207,0.389,,,,,,,,,0.473,60.4,134,51.4,0.0,18.5,-3.0,68.4,6.6,,7.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-1.5,,34 - 34,49.9,3.1,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,114,52.0,124,142,171,124.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1014838,1921,Oscar Charleston,SLG,24,77,284,330,123,79,17,12,15,104,91,41,,,5,,9,,32,,0.433,,,,,,,,,,,0.124,,,0.512,0.736,1.248,0.303,,,,,,,,,,0.551,55.0,97,58.0,-7.0,10.5,-1.8,67.1,6.4,,8.3,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,6.9,,24 - 24,64.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,163,,152,199,311,,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1012309,1921,Tris Speaker,CLE,33,132,506,588,183,114,52,14,3,107,75,68,,12.0,2,,12,,2,4.0,0.362,,,,,,,,,,,0.11599999999999999,0.02,5.67,0.439,0.538,0.977,0.176,0.367,,,,,,,,,0.446,48.1,123,36.8,10.0,18.7,-3.2,64.8,6.3,,5.1,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,-0.7,,33 - 33,36.1,3.1,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,137,32.0,120,128,145,117.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
